               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.022015,           0.0088274,           0.0035806,              0.8604,             0.87119,             0.90398,             0.70667,            0.021486,            0.005682,           0.0059527,            0.005347,            0.005347,            0.005347
                  49,             0.02256,           0.0087714,           0.0029126,             0.87134,             0.90441,             0.92372,             0.70127,            0.021095,           0.0057944,           0.0051495,            0.005248,            0.005248,            0.005248
                  50,            0.021568,           0.0087958,           0.0031906,             0.94478,             0.85274,             0.92384,             0.73716,            0.020125,           0.0057464,           0.0072923,            0.005149,            0.005149,            0.005149
                  51,            0.021273,           0.0089267,           0.0029497,             0.89754,             0.87974,              0.9199,             0.73193,            0.019959,           0.0057498,           0.0056502,             0.00505,             0.00505,             0.00505
                  52,             0.02115,           0.0087024,           0.0030909,             0.93151,             0.85815,             0.92101,             0.71444,            0.020516,           0.0053589,           0.0061026,            0.004951,            0.004951,            0.004951
                  53,            0.020854,             0.00832,           0.0029671,             0.91006,             0.86961,             0.91664,             0.74183,            0.019785,           0.0055841,           0.0056659,            0.004852,            0.004852,            0.004852
                  54,            0.020195,           0.0084068,           0.0023917,              0.9257,             0.87557,             0.92186,             0.69072,            0.019995,           0.0054889,           0.0056898,            0.004753,            0.004753,            0.004753
                  55,            0.020562,           0.0083429,           0.0025102,             0.91067,             0.88364,             0.91904,             0.71562,            0.020106,           0.0053235,           0.0056573,            0.004654,            0.004654,            0.004654
                  56,            0.020368,           0.0082621,           0.0026622,             0.90522,             0.87501,             0.91964,             0.70475,            0.019466,            0.005681,            0.005739,            0.004555,            0.004555,            0.004555
                  57,            0.020816,           0.0082647,           0.0024566,             0.91271,             0.88017,              0.9336,             0.76406,            0.019011,           0.0054161,           0.0052502,            0.004456,            0.004456,            0.004456
                  58,            0.020284,           0.0083912,           0.0024078,             0.92656,             0.86618,             0.92853,             0.74733,            0.019399,           0.0054918,           0.0050461,            0.004357,            0.004357,            0.004357
                  59,             0.02003,           0.0082098,           0.0030064,             0.95524,             0.88598,             0.94111,             0.74444,             0.01974,           0.0052238,           0.0047104,            0.004258,            0.004258,            0.004258
                  60,            0.020079,           0.0080148,           0.0023871,             0.89357,             0.88449,             0.92796,             0.70551,            0.020287,           0.0053688,           0.0046285,            0.004159,            0.004159,            0.004159
                  61,            0.019892,           0.0081065,           0.0026292,             0.92256,             0.88542,             0.93083,             0.72404,            0.019542,           0.0052281,           0.0049924,             0.00406,             0.00406,             0.00406
